concept_id,semantic_pack,domain,english_gloss,swahili_gloss,part_of_speech,category,phrase_type,tags,notes,luo,ki,kam,luy,kal,mas,dav,tvs,som,orm,coh,dig,dug,ebu,nyf,guz,x-ke-hin,x-ke-kur,mer,orc,x-ke-pok,rra,rel,saq,x-sheng,sxb,x-ke-trk,bxk,rag,lto,sgc,niq,pko,spy,tuy
ANM_001_DOG,animals,animals,dog,mbwa,noun,noun,,animal,Common domestic animal,Guok,Mbwa,Mbwa,Embwa,Mwambei,Olgirash,Mbwa,Mbwa,Eey,Saree,Mbwa,Mbwa,Mbwa,Mbwa,Mbwa,Embwa,Kuttaa,,Mbwa,,,,,Olgirash,Mbwa,,Ekuwan,Embwa,Mbwa,,Mwambei,Mwambei,,,
ANM_002_CAT,animals,animals,cat,paka,noun,noun,,animal,Common domestic animal,Paka,Paka,Paka,Epaka,Paka,Olpusati,Paka,Paka,Bisad,Aduruu,Paka,Paka,Paka,Paka,Paka,Epaka,Billi,,Paka,,,,,Olpusati,Paka,,Ekuwan naitore,Epaka,Paka,,Paka,Paka,,,
ANM_003_BIRD,animals,animals,bird,ndege,noun,noun,,animal,General term,Winyo,Ndege,Ndege,Endege,Lelwet,Enkiama,Ndege,Ndege,Shimbir,Simbiroo,Ndege,Ndege,Ndege,Ndege,Ndege,Endege,Chidhiya,,Ndege,,,,,Enkiama,Ndege,,Ekolong,Endege,Ndege,,Lelwet,Lelwet,,,
ANM_004_COW,animals,animals,cow,ng'ombe,noun,noun,,animal,Livestock,Dhiang',Ng'ombe,Ng'ombe,Eng'ombe,Inkimet,Nkishu,Ng'ombe,Ng'ombe,Lo',Sa'a,Ng'ombe,Ng'ombe,Ng'ombe,Ng'ombe,Ng'ombe,Eng'ombe,Gaay,,Ng'ombe,,,,,Nkishu,Ng'ombe,,Naitore,Eng'ombe,Ng'ombe,,Inkimet,Inkimet,,,
ANM_005_GOAT,animals,animals,goat,mbuzi,noun,noun,,animal,Livestock,Diel,Mbuzi,Mbuzi,Embuzi,Imeet,Enkine,Mbuzi,Mbuzi,Ri'o,Re'ee,Mbuzi,Mbuzi,Mbuzi,Mbuzi,Mbuzi,Embuzi,Bakri,,Mbuzi,,,,,Enkine,Mbuzi,,Ebei,Embuzi,Mbuzi,,Imeet,Imeet,,,
ANM_006_SHEEP,animals,animals,sheep,kondoo,noun,noun,,animal,Livestock,Rombo,Kondoo,Ndoo,Ekondoo,Maina,Enkiama,Kondoo,Kondoo,Ido,Hoolaa,Kondoo,Kondoo,Kondoo,Kondoo,Kondoo,Ekondoo,Bhed,,Kondoo,,,,,,Kondoo,,Ekwara,Ekondoo,Kondoo,,Maina,Maina,,,
ANM_007_FISH,animals,animals,fish,samaki,noun,noun,,animal,Aquatic,Rech,Samaki,Samaki,Esamaki,Engek,Enkiama,Samaki,Samaki,Kalluun,Qurxummii,Samaki,Samaki,Samaki,Samaki,Samaki,Esamaki,Machli,,Samaki,,,,,,Samaki,,Engorok,Esamaki,Samaki,,Engek,Engek,,,
ANM_008_SNAKE,animals,animals,snake,nyoka,noun,noun,,animal,Reptile,Thuol,Nyoka,Nyoka,Enyoka,Embolio,Oltim,Nyoka,Nyoka,Abeeso,Bofa,Nyoka,Nyoka,Nyoka,Nyoka,Nyoka,Enyoka,Saamp,,Nyoka,,,,,Oltim,Nyoka,,Engiro,Enyoka,Nyoka,,Embolio,Embolio,,,
ANM_009_LION,animals,animals,lion,simba,noun,noun,,animal,Wild animal,Sibuor,Simba,Simba,Esimba,Wareng,Olngatiata,Simba,Simba,Libaax,Leencaa,Simba,Simba,Simba,Simba,Simba,Esimba,Sher,,Simba,,,,,Olngatiata,Simba,,Ngatuny,Esimba,Simba,,Wareng,Wareng,,,
ANM_010_ELEPHANT,animals,animals,elephant,tembo,noun,noun,,animal,Wild animal,Lak,Ndovu,Nduu,Enjovu,Tui,Oltome,Tembo,Tembo,Marood,Arbaa,Tembo,Tembo,Tembo,Ndovu,Tembo,Enjovu,Haathi,,Ndovu,,,,,Oltome,Tembo / Ndovu,,Etom,Enjovu,Tembo,,Tui,Tui,,,
