concept_id,semantic_pack,domain,english_gloss,swahili_gloss,part_of_speech,category,phrase_type,tags,notes,luo,ki,kam,luy,kal,mas,dav,tvs,som,orm,coh,dig,dug,ebu,nyf,guz,x-ke-hin,x-ke-kur,mer,orc,x-ke-pok,rra,rel,saq,x-sheng,sxb,x-ke-trk,bxk,rag,lto,sgc,niq,pko,spy,tuy
NUM_001_ONE,numbers,numbers,one,moja,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Achiel,?mwe,?mwe,Ndala,Agenge,Nabo,Imweri,Imweri,Ków,Tokko,Mwenga,Mwenga,Mwenga,Imwe,Mwenga,Eyemo,Ek,Umwi,Imwe,Tokko,Mosi,Mwenga,Ków,Nabó,,Endala,Apeyi,Silala,Mulala,Mulala,Agenge,Agenge,Akeng',Akeenge,Agenge
NUM_002_TWO,numbers,numbers,two,mbili,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Ariyo,Ig?r?,?l?,Chibili,Aeng’,Are,Iwi,Iwi,Lába,Lama,Mbiri,Mbiri,Mbiri,Ig?r?,Mbiri,Ibiri,Do,Abere,Ig?r?,Lama,Mbiri,Mbiri,Lámba,Aré,,Iwiri,Ng’arei,Chibili,Vaviri,Vaviri,Aeng’,Aeng',Oyeng',Ayeng',Aeng'
NUM_003_THREE,numbers,numbers,three,tatu,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Adek,Ithat?,Itat?,Chitaru,Somok,Uni,Idadu,Idadu,Sáddex,Sadi,Tahu,Ndahu,Tahu,Ithat?,Tahu,Isato,Teen,Atatu,Ithat?,Sadi,Tahu,Tahu,Séyyah,Uní,,Isatu,Ng’uni,Chitaru,Vavadu,Varahu,Somok,Somok,Somok,Somok,Somok
NUM_004_FOUR,numbers,numbers,four,nne,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Ang'wen,Inya,Inya,Chinne,Ang’wan,Ong'wan,Inya,Inya,Áfar,Afur,Inne,Nne,Nne,Inya,Inne,Ine,Char,Anne,Inya,Afur,Inne,Nne,Afar,Ong'wán,,Ine,Ng’omon,Chinne,Vane,Vanne,Ang’wan,Ang'wan,Ang'wan,Ang'wan,Ang'wan
NUM_005_FIVE,numbers,numbers,five,tano,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Abich,Ithano,Itano,Chirano,Mut,Imiet,Isanu,Isanu,Shán,Shan,Tsano,Tsano,Tsano,Ithano,Tsano,Isano,Panch,Atano,Ithano,Shan,Tsano,Tsano,Chan,Imyét,,Itanu,Ng’akan,Chirano,Vatanu,Vatanu,Mut,Mut,Mut,Mut,Mut
NUM_006_SIX,numbers,numbers,six,sita,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Auchiel,Ithathat?,Thanthat?,Sita,Lo,Ile,Irandadu,Irandadu,Líx,Jaya,Sita,Tandahu,Tandahu,Ithathat?,Thandahu,Isasato,Cheh,Itandatu,Ithathat?,Jaha,Tandahu,Thandahu,Líh,Ilé,,Mukaga,Ng’akan-ka-peyi,Sita,Mutandatu,Mutandatu,Lo,Lo,Lo,Lo,Lo
NUM_007_SEVEN,numbers,numbers,seven,saba,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Abiriyo,M?gwanja,Muonza,Saba,Tisap,Nabishana,Mfungade,Mfungade,Toddobá,Torba,Mfungade,Fungahe,Fungahe,M?gwanja,Fungahe,Isabato,Saat,Ifungate,M?gwanja,Torba,Fungahe,Fungahe,Toddobá,Sápua,,Musamvu,Ng’akan-ka-arei,Saba,Mutandatu na mulala,Murunana,Tisap,Tisap,Tisap,Tisap,Tisap
NUM_008_EIGHT,numbers,numbers,eight,nane,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Aboro,Inyanya,Nyanya,Munane,Sisit,Isiet,Wanya,Inyanya,Siddéed,Saddeet,Nyanya,Nane,Nane,Inyanya,Nane,Inyanya,Aath,Inyanya,Inyanya,Saddeet,Nane,Nane,Siyyéet,Isyét,,Munana,Ng’akan-ka-uni,Munane,Munane,Munane,Sisit,Sisit,Sisit,Sisit,Sisit
NUM_009_NINE,numbers,numbers,nine,tisa,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Ochiko,Kenda,Keenda,Nasienda,Sokol,Naaudo,Ikenda,Ikenda,Sagaal,Sagal,Kenda,Chenda,Chenda,Kenda,Chenda,Ikenda,Nau,Ikenda,Kenda,Sagal,Kenda,Chenda,Sagáal,Saall,,Kenda,Ng’akan-ka-omon,Nasienda,Chenda,Chenda,Sokol,Sokol,Sokol,Sokol,Sokol
NUM_010_TEN,numbers,numbers,ten,kumi,number,numbers,numeric,"[""cardinal"",""core""]",Basic numeral,Apar,Ik?mi,?k?mi,Likhumi,Taman,Tomon,Ikumi,Ikumi,Toban,Kudhan,Kumi,Kumi,Kumi,Ik?mi,Kumi,Ikumi,Das,Ikumi,Ik?mi,Kudhan,Kumi,Kumi,Tomon,Tomón,,Ikumi,Ng’otomon,Likhumi,Likumi,Likumi,Toman,Taman,Taman,Taman,Taman
NUM_020_TWENTY,numbers,numbers,twenty,ishirini,number,numbers,numeric,"[""cardinal"",""tens""]",Tens digit,Piero ariyo,M?rongo ?r?,Miongo ?l?,Kamakhumi kabili,Tiptem,Tikítam,Makumi awi,Makumi iwi,Labaátan,Digdama,Makumi mbiri,Mirongo miiri,Mirongo mbiri,M?rongo ?r?,Makumi mbiri,Amakumi abiri,Bees,Amakumi abere,M?rongo ?r?,Digdama,Mirongo miiri,Makumi mbiri,Labátan,Tikítam,,Amakumi awiri,Akumi-arei,Kamakhumi kabili,Amakumi vaviri,Amakumi vaviri,Tiptem,Tiptem,Tiptem,Tiptem,Tiptem
NUM_030_THIRTY,numbers,numbers,thirty,thelathini,number,numbers,numeric,"[""cardinal"",""tens""]",Tens digit,Piero adek,M?rongo ithat?,Miongo itat?,Kamakhumi kataru,Sosom,Osom,Makumi adadu,Makumi idadu,Sóddon,Soddoma,Makumi tahu,Mirongo midahu,Mirongo tahu,M?rongo ithat?,Makumi tahu,Amakumi asato,Tees,Amakumi atatu,M?rongo ithat?,Soddoma,Mirongo mitahu,Makumi tahu,Sódon,Osóm,,Amakumi asatu,Akumi-uni,Kamakhumi kataru,Amakumi vavadu,Amakumi varahu,Sosom,Sosom,Sosom,Sosom,Sosom
