"batch_label","source_row_no","language_code","headword","primary_definition","english_translation","swahili_translation","part_of_speech","dialect_variant","register","pronunciation_ipa","etymology","audio_url","category","created_by","source_name","source_license","source_url","source_note"
"BATCH_SEED_2026_05_01","1","kikuyu","wĩ mwega","A greeting word","hello","habari","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_001_HELLO"
"BATCH_SEED_2026_05_01","2","kikuyu","ngoro","Thank you expression","thank you","asante","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_005_THANK_YOU"
"BATCH_SEED_2026_05_01","3","kikuyu","mũtwe","Upper body part","head","kichwa","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_001_HEAD"
"BATCH_SEED_2026_05_01","4","kikuyu","rũũri","Organ of sight","eye","jicho","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_002_EYE"
"BATCH_SEED_2026_05_01","5","kikuyu","baba","Male parent","father","baba","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_001_FATHER"
"BATCH_SEED_2026_05_01","6","kikuyu","nyina","Female parent","mother","mama","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_002_MOTHER"
"BATCH_SEED_2026_05_01","7","kikuyu","mũrũ","Male sibling","brother","kaka","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_003_BROTHER"
"BATCH_SEED_2026_05_01","8","kikuyu","mbirira","Female sibling","sister","dada","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_004_SISTER"
"BATCH_SEED_2026_05_01","9","kikuyu","imwe","The number one","one","moja","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_001_ONE"
"BATCH_SEED_2026_05_01","10","kikuyu","igiri","The number two","two","mbili","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_002_TWO"
"BATCH_SEED_2026_05_01","11","kikuyu","itatu","The number three","three","tatu","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_003_THREE"
"BATCH_SEED_2026_05_01","12","kikuyu","ina","The number four","four","nne","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_004_FOUR"
"BATCH_SEED_2026_05_01","13","kikuyu","itano","The number five","five","tano","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_005_FIVE"
