"concept_id","semantic_pack","domain","english_gloss","swahili_gloss","part_of_speech","category","phrase_type","tags","notes","luo","ki","kam","luy","kal","mas","dav","tvs","som","orm"
"NUM_001_ONE","numbers","numbers","one","moja","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_002_TWO","numbers","numbers","two","mbili","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_003_THREE","numbers","numbers","three","tatu","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_004_FOUR","numbers","numbers","four","nne","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_005_FIVE","numbers","numbers","five","tano","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_006_SIX","numbers","numbers","six","sita","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_007_SEVEN","numbers","numbers","seven","saba","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_008_EIGHT","numbers","numbers","eight","nane","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_009_NINE","numbers","numbers","nine","tisa","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_010_TEN","numbers","numbers","ten","kumi","number","numbers","numeric","[""cardinal"",""core""]","Basic numeral","","","","","","","","","",""
"NUM_020_TWENTY","numbers","numbers","twenty","ishirini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_030_THIRTY","numbers","numbers","thirty","thelathini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_040_FORTY","numbers","numbers","forty","arobaini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_050_FIFTY","numbers","numbers","fifty","hamsini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_060_SIXTY","numbers","numbers","sixty","sitini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_070_SEVENTY","numbers","numbers","seventy","sabini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_080_EIGHTY","numbers","numbers","eighty","themanini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_090_NINETY","numbers","numbers","ninety","tisini","number","numbers","numeric","[""cardinal"",""tens""]","Tens digit","","","","","","","","","",""
"NUM_100_HUNDRED","numbers","numbers","hundred","mia","number","numbers","numeric","[""cardinal"",""magnitude""]","Magnitude","","","","","","","","","",""
"NUM_1000_THOUSAND","numbers","numbers","thousand","elfu","number","numbers","numeric","[""cardinal"",""magnitude""]","Magnitude","","","","","","","","","",""
"GRT_001_HELLO","greetings","social_phrases","hello","habari","interjection","conversation","greeting","[""beginner"",""common"",""greeting""]","Basic greeting","","","","","","","","","",""
"GRT_002_GOOD_MORNING","greetings","social_phrases","good morning","habari ya asubuhi","phrase","conversation","greeting","[""beginner"",""common"",""greeting""]","Morning greeting","","","","","","","","","",""
"GRT_003_HOW_ARE_YOU","greetings","social_phrases","how are you?","habari yako?","phrase","conversation","greeting","[""beginner"",""common"",""question""]","Inquiry greeting","","","","","","","","","",""
"GRT_004_I_AM_FINE","greetings","social_phrases","I am fine","niko sawa","phrase","conversation","response","[""beginner"",""common"",""response""]","Response to greeting","","","","","","","","","",""
"GRT_005_THANK_YOU","greetings","social_phrases","thank you","asante","interjection","conversation","politeness","[""beginner"",""common"",""essential""]","Expression of gratitude","","","","","","","","","",""
"GRT_006_SORRY","greetings","social_phrases","sorry","pole","interjection","conversation","politeness","[""beginner"",""common"",""essential""]","Apology or sympathy","","","","","","","","","",""
"GRT_007_WELCOME","greetings","social_phrases","welcome","karibu","interjection","conversation","greeting","[""beginner"",""common"",""hospitality""]","Welcome greeting","","","","","","","","","",""
"GRT_008_GOODBYE","greetings","social_phrases","goodbye","kwaheri","interjection","conversation","farewell","[""beginner"",""common"",""farewell""]","Departure greeting","","","","","","","","","",""
"GRT_009_WHAT_IS_YOUR_NAME","greetings","social_phrases","what is your name?","jina lako nani?","phrase","conversation","question","[""beginner"",""common"",""question""]","Name inquiry","","","","","","","","","",""
"GRT_010_MY_NAME_IS","greetings","social_phrases","my name is","jina langu ni","phrase","conversation","response","[""beginner"",""common"",""introduction""]","Name introduction","","","","","","","","","",""
"GRT_011_EXCUSE_ME","greetings","social_phrases","excuse me","pole pole","phrase","conversation","politeness","[""beginner"",""common"",""politeness""]","Polite attention-getter","","","","","","","","","",""
"GRT_012_PLEASE","greetings","social_phrases","please","tafadhali","interjection","conversation","politeness","[""beginner"",""common"",""politeness""]","Polite request marker","","","","","","","","","",""
"KIN_001_FATHER","kinship","family","father","baba","noun","family","","[""core"",""kinship"",""male""]","Male parent","","","","","","","","","",""
"KIN_002_MOTHER","kinship","family","mother","mama","noun","family","","[""core"",""kinship"",""female""]","Female parent","","","","","","","","","",""
"KIN_003_BROTHER","kinship","family","brother","kaka","noun","family","","[""core"",""kinship"",""male""]","Male sibling","","","","","","","","","",""
"KIN_004_SISTER","kinship","family","sister","dada","noun","family","","[""core"",""kinship"",""female""]","Female sibling","","","","","","","","","",""
"KIN_005_SON","kinship","family","son","mtoto wa kiume","noun","family","","[""core"",""kinship"",""male""]","Male child","","","","","","","","","",""
"KIN_006_DAUGHTER","kinship","family","daughter","mtoto wa kike","noun","family","","[""core"",""kinship"",""female""]","Female child","","","","","","","","","",""
"KIN_007_CHILD","kinship","family","child","mtoto","noun","family","","[""core"",""kinship""]","Young person","","","","","","","","","",""
"KIN_008_GRANDFATHER","kinship","family","grandfather","babu","noun","family","","[""kinship"",""elder""]","Paternal/maternal grandfather","","","","","","","","","",""
"KIN_009_GRANDMOTHER","kinship","family","grandmother","nyanya","noun","family","","[""kinship"",""elder""]","Paternal/maternal grandmother","","","","","","","","","",""
"KIN_010_HUSBAND","kinship","family","husband","mume","noun","family","","[""kinship"",""spouse""]","Married male partner","","","","","","","","","",""
"KIN_011_WIFE","kinship","family","wife","mke","noun","family","","[""kinship"",""spouse""]","Married female partner","","","","","","","","","",""
"KIN_012_FRIEND","kinship","family","friend","rafiki","noun","family","","[""kinship"",""social""]","Close companion","","","","","","","","","",""
"KIN_013_UNCLE","kinship","family","uncle","mjomba","noun","family","","[""kinship""]","Paternal/maternal uncle","","","","","","","","","",""
"KIN_014_AUNT","kinship","family","aunt","shangazi","noun","family","","[""kinship""]","Paternal/maternal aunt","","","","","","","","","",""
"KIN_015_NEIGHBOR","kinship","family","neighbor","jirani","noun","family","","[""kinship"",""social""]","Person living nearby","","","","","","","","","",""
"HLT_001_HEAD","health","body","head","kichwa","noun","health","","[""body"",""core""]","Upper body part","","","","","","","","","",""
"HLT_002_EYE","health","body","eye","jicho","noun","health","","[""body"",""core""]","Organ of sight","","","","","","","","","",""
