concept_id,semantic_pack,domain,english_gloss,swahili_gloss,part_of_speech,category,phrase_type,tags,notes
"ANM_001_DOG","animals","animals","dog","mbwa","noun","noun",,"animal","Common domestic animal"
"ANM_002_CAT","animals","animals","cat","paka","noun","noun",,"animal","Common domestic animal"
"ANM_003_BIRD","animals","animals","bird","ndege","noun","noun",,"animal","General term"
"ANM_004_COW","animals","animals","cow","ng'ombe","noun","noun",,"animal","Livestock"
"ANM_005_GOAT","animals","animals","goat","mbuzi","noun","noun",,"animal","Livestock"
"ANM_006_SHEEP","animals","animals","sheep","kondoo","noun","noun",,"animal","Livestock"
"ANM_007_FISH","animals","animals","fish","samaki","noun","noun",,"animal","Aquatic"
"ANM_008_SNAKE","animals","animals","snake","nyoka","noun","noun",,"animal","Reptile"
"ANM_009_LION","animals","animals","lion","simba","noun","noun",,"animal","Wild animal"
"ANM_010_ELEPHANT","animals","animals","elephant","tembo","noun","noun",,"animal","Wild animal"
"FD_001_RICE","food","food","rice","wali/mchele","noun","noun",,"staple","Grain"
"FD_002_BREAD","food","food","bread","mkate","noun","noun",,"food_item","Staple"
"FD_003_WATER","food","food","water","maji","noun","noun",,"liquid","Essential"
"FD_004_MILK","food","food","milk","maziwa","noun","noun",,"liquid","Dairy"
"FD_005_MEAT","food","food","meat","nyama","noun","noun",,"protein","Food"
"FD_006_VEGETABLES","food","food","vegetables","mboga","noun","noun",,"food_item","Plant-based"
"FD_007_FRUIT","food","food","fruit","matunda","noun","noun",,"food_item","Plant-based"
"FD_008_HONEY","food","food","honey","asali","noun","noun",,"food_item","Natural sweetener"
"FD_009_SALT","food","food","salt","chumvi","noun","noun",,"seasoning","Mineral"
"FD_010_FIRE","food","food","fire","moto","noun","noun",,"cooking","Element"
"BD_001_HEAD","body_parts","body_parts","head","kichwa","noun","noun",,"anatomy","Major body part"
"BD_002_EYES","body_parts","body_parts","eyes","macho","noun","noun",,"anatomy","Sense organ"
"BD_003_EARS","body_parts","body_parts","ears","masikio","noun","noun",,"anatomy","Sense organ"
"BD_004_NOSE","body_parts","body_parts","nose","pua","noun","noun",,"anatomy","Sense organ"
"BD_005_MOUTH","body_parts","body_parts","mouth","kinywa","noun","noun",,"anatomy","Sensory/eating"
"BD_006_TEETH","body_parts","body_parts","teeth","meno","noun","noun",,"anatomy","Mouth part"
"BD_007_TONGUE","body_parts","body_parts","tongue","ulimi","noun","noun",,"anatomy","Mouth part"
"BD_008_THROAT","body_parts","body_parts","throat","koo","noun","noun",,"anatomy","Esophageal"
"BD_009_HANDS","body_parts","body_parts","hands","mikono","noun","noun",,"anatomy","Limb"
"BD_010_FEET","body_parts","body_parts","feet","miguu","noun","noun",,"anatomy","Limb"
"CL_001_SHIRT","clothing","clothing","shirt","shati","noun","noun",,"garment","Torso covering"
"CL_002_TROUSERS","clothing","clothing","trousers","suruali","noun","noun",,"garment","Lower body"
