concept_id,semantic_pack,domain,english_gloss,swahili_gloss,luo,ki,kam,luy,kal,mas,dav,tvs,som,orm,notes
"NUM_001_ONE","numbers","numbers","one","moja",,,,,,,,,,,"Basic numeral"
"NUM_002_TWO","numbers","numbers","two","mbili",,,,,,,,,,,"Basic numeral"
"NUM_003_THREE","numbers","numbers","three","tatu",,,,,,,,,,,"Basic numeral"
"NUM_004_FOUR","numbers","numbers","four","nne",,,,,,,,,,,"Basic numeral"
"NUM_005_FIVE","numbers","numbers","five","tano",,,,,,,,,,,"Basic numeral"
"NUM_006_SIX","numbers","numbers","six","sita",,,,,,,,,,,"Basic numeral"
"NUM_007_SEVEN","numbers","numbers","seven","saba",,,,,,,,,,,"Basic numeral"
"NUM_008_EIGHT","numbers","numbers","eight","nane",,,,,,,,,,,"Basic numeral"
"NUM_009_NINE","numbers","numbers","nine","tisa",,,,,,,,,,,"Basic numeral"
"NUM_010_TEN","numbers","numbers","ten","kumi",,,,,,,,,,,"Basic numeral"
"NUM_020_TWENTY","numbers","numbers","twenty","ishirini",,,,,,,,,,,"Tens digit"
"NUM_030_THIRTY","numbers","numbers","thirty","thelathini",,,,,,,,,,,"Tens digit"
"NUM_040_FORTY","numbers","numbers","forty","arobaini",,,,,,,,,,,"Tens digit"
"NUM_050_FIFTY","numbers","numbers","fifty","hamsini",,,,,,,,,,,"Tens digit"
"NUM_060_SIXTY","numbers","numbers","sixty","sitini",,,,,,,,,,,"Tens digit"
"NUM_070_SEVENTY","numbers","numbers","seventy","sabini",,,,,,,,,,,"Tens digit"
"NUM_080_EIGHTY","numbers","numbers","eighty","themanini",,,,,,,,,,,"Tens digit"
"NUM_090_NINETY","numbers","numbers","ninety","tisini",,,,,,,,,,,"Tens digit"
"NUM_100_HUNDRED","numbers","numbers","hundred","mia",,,,,,,,,,,"Magnitude"
"NUM_1000_THOUSAND","numbers","numbers","thousand","elfu",,,,,,,,,,,"Magnitude"
"GRT_001_HELLO","greetings","social_phrases","hello","habari",,,,,,,,,,,"Basic greeting"
"GRT_002_GOOD_MORNING","greetings","social_phrases","good morning","habari ya asubuhi",,,,,,,,,,,"Morning greeting"
"GRT_003_HOW_ARE_YOU","greetings","social_phrases","how are you?","habari yako?",,,,,,,,,,,"Inquiry greeting"
"GRT_004_I_AM_FINE","greetings","social_phrases","I am fine","niko sawa",,,,,,,,,,,"Response to greeting"
"GRT_005_THANK_YOU","greetings","social_phrases","thank you","asante",,,,,,,,,,,"Expression of gratitude"
"GRT_006_SORRY","greetings","social_phrases","sorry","pole",,,,,,,,,,,"Apology or sympathy"
"GRT_007_WELCOME","greetings","social_phrases","welcome","karibu",,,,,,,,,,,"Welcome greeting"
"GRT_008_GOODBYE","greetings","social_phrases","goodbye","kwaheri",,,,,,,,,,,"Departure greeting"
"GRT_009_WHAT_IS_YOUR_NAME","greetings","social_phrases","what is your name?","jina lako nani?",,,,,,,,,,,"Name inquiry"
"GRT_010_MY_NAME_IS","greetings","social_phrases","my name is","jina langu ni",,,,,,,,,,,"Name introduction"
"GRT_011_EXCUSE_ME","greetings","social_phrases","excuse me","pole pole",,,,,,,,,,,"Polite attention-getter"
"GRT_012_PLEASE","greetings","social_phrases","please","tafadhali",,,,,,,,,,,"Polite request marker"
"KIN_001_FATHER","kinship","family","father","baba",,,,,,,,,,,"Male parent"
"KIN_002_MOTHER","kinship","family","mother","mama",,,,,,,,,,,"Female parent"
"KIN_003_BROTHER","kinship","family","brother","kaka",,,,,,,,,,,"Male sibling"
"KIN_004_SISTER","kinship","family","sister","dada",,,,,,,,,,,"Female sibling"
"KIN_005_SON","kinship","family","son","mtoto wa kiume",,,,,,,,,,,"Male child"
"KIN_006_DAUGHTER","kinship","family","daughter","mtoto wa kike",,,,,,,,,,,"Female child"
"KIN_007_CHILD","kinship","family","child","mtoto",,,,,,,,,,,"Young person"
"KIN_008_GRANDFATHER","kinship","family","grandfather","babu",,,,,,,,,,,"Paternal/maternal grandfather"
"KIN_009_GRANDMOTHER","kinship","family","grandmother","nyanya",,,,,,,,,,,"Paternal/maternal grandmother"
"KIN_010_HUSBAND","kinship","family","husband","mume",,,,,,,,,,,"Married male partner"
"KIN_011_WIFE","kinship","family","wife","mke",,,,,,,,,,,"Married female partner"
"KIN_012_FRIEND","kinship","family","friend","rafiki",,,,,,,,,,,"Close companion"
"KIN_013_UNCLE","kinship","family","uncle","mjomba",,,,,,,,,,,"Paternal/maternal uncle"
"KIN_014_AUNT","kinship","family","aunt","shangazi",,,,,,,,,,,"Paternal/maternal aunt"
"KIN_015_NEIGHBOR","kinship","family","neighbor","jirani",,,,,,,,,,,"Person living nearby"
"HLT_001_HEAD","health","body","head","kichwa",,,,,,,,,,,"Upper body part"
"HLT_002_EYE","health","body","eye","jicho",,,,,,,,,,,"Organ of sight"
"HLT_003_NOSE","health","body","nose","pua",,,,,,,,,,,"Organ of smell"
"HLT_004_MOUTH","health","body","mouth","kinywa",,,,,,,,,,,"Oral cavity"
"HLT_005_HAND","health","body","hand","mkono",,,,,,,,,,,"Upper limb extremity"
"HLT_006_LEG","health","body","leg","mguu",,,,,,,,,,,"Lower limb extremity"
"HLT_007_FOOT","health","body","foot","kiguu",,,,,,,,,,,"Lowest body part"
